text,location,date,textHuman
"[""radiosavana"",""agricoltore"",""della"",""bergamasca"",""contro"",""il"",""governo"",""degli"",""incapaci"",""sono"",""passate"",""settimane"",""non"",""sappiamo"",""piu"",""pagare"",""atte""]","[11.88586,45.40797]",Sun Mar 29 11:51:26 +0000 2020," @RadioSavana: Agricoltore della Bergamasca contro il governo degli incapaci: ""Sono passate settimane, non sappiamo più come pagare. Atte…"
"[""cricketracker"",""great"",""gesture"",""imraina"",""amid"",""pandemic"",""httpstcoydetmiayzv""]","[74.63867,26.4521]",Sun Mar 29 11:51:26 +0000 2020," @Cricketracker: Great gesture from @ImRaina amid coronavirus pandemic. https://t.co/YDETmiayZv"
"[""hheffner"",""lockdown"",""made"",""replies"",""x"",""worse"",""no"",""motivation"",""energy"",""talk"",""its"",""so"",""weird""]","[-77.42025,36.1296]",Sun Mar 29 11:51:26 +0000 2020," @h1heffner: This lockdown has made my replies 10x worse, I have no motivation or energy to talk it’s so weird"
"[""rafiksmati"",""une"",""chose"",""est"",""de"",""dire"",""nous"",""sommes"",""en"",""guerre"",""une"",""autre"",""chose"",""est"",""de"",""nous"",""mettre"",""reellement"",""en"",""economie"",""de"",""guerre"",""les"",""US""]","[3.16117,50.72391]",Sun Mar 29 11:51:26 +0000 2020," @RafikSmati: Une chose est de dire «nous sommes en guerre». Une autre chose est de nous mettre RÉELLEMENT en économie de guerre. Les USA…"
"[""lorrainemking"",""friend"",""realised"",""stayed"",""home"",""selfisolate"",""following"",""governments"",""advice"",""e""]","[-87.77305,30.88296]",Sun Mar 29 11:51:26 +0000 2020," @lorrainemking: My friend realised he had coronavirus and stayed at home to self-isolate.
He was following the government's advice and e…"
"[""hansrajmeena"",""thanks"",""beingsalmankhan""]","[76.79336,34.9274]",Sun Mar 29 11:51:26 +0000 2020,बहुत ख़ूब भाईसाहब @HansrajMeena आपकी मेहनत रंग लाई thanks @BeingSalmanKhan
"[""anabelalonsoof"",""que"",""digo"",""yo"",""que"",""ya"",""que"",""china"",""tiene"",""algo"",""que"",""ver"",""con"",""el"",""origen"",""de"",""esta"",""pandemia"",""podia"",""enrrollarse"",""y"",""donar"",""mascarillas""]","[-61.26273,-37.24755]",Sun Mar 29 11:51:27 +0000 2020," @AnabelAlonso_of: Que digo yo, que ya que China tiene algo que ver con el origen de esta pandemia, podía enrrollarse y donar mascarillas…"
"[""cardenasjorgee"",""mientras"",""tanto"",""en"",""mexico"",""los"",""encargados"",""de"",""la"",""epidemia"",""del"",""httpstcobzrhdxrzs""]","[-74.00481,5.02208]",Sun Mar 29 11:51:27 +0000 2020," @cardenasjorgee: Mientras tanto en #Mexico los encargados de la epidemia del #coronavirus 🤦🏽‍♂️... https://t.co/BZRHDXrZ1S"
"[""rubensancheztw"",""ver"",""abascal"",""que"",""ortega"",""smith"",""se"",""callara"",""que"",""vino"",""de"",""milan"",""con"",""sintomas"",""y"",""propagara"",""el"",""besando"",""abrazando""]","[-1.78333,39.71667]",Sun Mar 29 11:51:27 +0000 2020," @RubenSanchezTW: A ver Abascal, que Ortega Smith se callara que vino de Milán con síntomas y propagara el coronavirus besando, abrazando…"
"[""think"",""bbcnickrobinson"",""bbclaurak"",""adamboultonsky"",""andrewmarr"",""jocoburn"",""bbclaurak"",""protect"",""httpstcouhmyimgky""]","[138.52351,-35.0182]",Sun Mar 29 11:51:27 +0000 2020," if you think @bbcnickrobinson @bbclaurak @adamboultonSKY @AndrewMarr9 @jo_coburn and @bbclaurak protect… https://t.co/7uHmYimgKY"
"[""swamy"",""remainder"",""days"",""lockdown"",""cannot"",""afford"",""two"",""governments"",""city"",""hence"",""delhi"",""govt"",""su""]","[78.17337,26.22983]",Sun Mar 29 11:51:27 +0000 2020," @Swamy39: For the remainder of the 21 days Lockdown, we cannot afford two governments in the same city. Hence, the Delhi govt must be su…"
"[""descifraguerra"",""aqui"",""os"",""dejamos"",""nuestro"",""hilo"",""anterior"",""sobre"",""la"",""crisis"",""del"",""covid"",""httpstconfxdqz""]","[-73.62664,4.142]",Sun Mar 29 11:51:27 +0000 2020," @descifraguerra: 🦠Aquí os dejamos nuestro hilo anterior sobre la crisis del COVID19.
https://t.co/Nf5XD160Qz"
"[""annapodolanczuk"",""today"",""told"",""year"",""old"",""needs"",""intubation"",""scared"",""not"",""breathe"",""told"",""wife"",""year""]","[153.42999,-28.00274]",Sun Mar 29 11:51:27 +0000 2020," @AnnaPodolanczuk: Today.

I told a 28 year old that he needs intubation. He was scared. Couldn’t breathe. 

I told the wife of a 47 year…"
"[""southindgoogly"",""lockdown"",""httpstcolnglczlam""]","[33.3642,35.17531]",Sun Mar 29 11:51:27 +0000 2020," @SouthINDGoogly: Lockdown 😔 https://t.co/l2NgLcZLAm"
"[""lariviere"",""prelockdown"",""postlockdown"",""httpstcoglwviol""]","[153.02809,-27.46794]",Sun Mar 29 11:51:27 +0000 2020," @la_riviere: Pre-lockdown and post-lockdown. https://t.co/g56lW0viOl"
"[""newsreputation"",""espana"",""fallecidos"",""totales"",""por"",""domingo"",""de"",""marzo"",""fallecidos"",""en"",""el"",""ultimo"",""dia"",""ayer"",""en""]","[-2.03985,37.34218]",Sun Mar 29 11:51:27 +0000 2020," @NewsReputation: España. Fallecidos totales por coronavirus, domingo 29 de marzo. 

838 fallecidos en el último día (832 ayer), 6528 en…"
"[""when"",""lockdown"",""crapping"",""yourself"",""scary"",""global"",""pandemic"",""contemplating"",""shattered"",""fi"",""httpstcobhlrkpdbco""]","[-0.17509,52.31939]",Sun Mar 29 11:51:27 +0000 2020,Because when you are in lockdown crapping yourself about a scary global pandemic ...contemplating your shattered fi… https://t.co/BHlRKpdBCo
"[""policia"",""por"",""favor"",""estas"",""son"",""las"",""acciones"",""permitidas"",""durante"",""el"",""estado"",""de"",""alarma"",""respecto"",""sacar"",""pasear"",""perros"",""y"",""alimentacion"",""d""]","[-74.6989,7.07993]",Sun Mar 29 11:51:27 +0000 2020," @policia: Por favor, RT

Estas son las acciones permitidas durante el estado de alarma respecto a sacar a pasear perros y alimentación d…"
"[""onmanorama"",""states"",""asked"",""seal"",""borders"",""stop"",""exodus"",""migrant"",""workers"",""during"",""lockdown"",""httpstcoevdmojcrhz""]","[76.26022,9.93988]",Sun Mar 29 11:51:27 +0000 2020," @Onmanorama: States asked to seal borders to stop the exodus of migrant workers during #coronavirus #lockdown 

https://t.co/EVDmOjcrhz"
